estimate,pe,se,t_stat,p_value,ci_lo,ci_hi,pub_bias,expected_sign,program,extended,international,regulation,clusterid,baseline,extended_international,extended_regulation,international_regulation,complete_sample,abs_t_stat,id
IV of price on HO Installation Rate,-1.929,2.249,-.8577145397954646,,,,1,1,pless_tpo,1,1,1,66,1,1,1,1,1,.85771453,pless_tpoIV of price on HO Installation Rate
Experience exponent,.319,.043,7.418604651162791,,,,1,1,pless_tpo,1,1,1,66,1,1,1,1,1,7.4186049,pless_tpoExperience exponent
IV of price squared on HO Installation Rate,.241,.289,.8339100346020761,,,,1,1,pless_tpo,1,1,1,66,1,1,1,1,1,.83391005,pless_tpoIV of price squared on HO Installation Rate
Effect of $100 rebate on purchase indicator of energy star water heater,.037,.013,2.846153846153846,,,,1,1,rebate_es,1,1,1,68,1,1,1,1,1,2.8461537,rebate_esEffect of $100 rebate on purchase indicator of energy star water heater
Effect of retrofit on log electricity use,-.302,.103,-2.932038834951456,,,,1,1,retrofit_res,1,1,1,69,1,1,1,1,1,2.9320388,retrofit_resEffect of retrofit on log electricity use
"Logged coal production on POxPost , CO2",-.12,.06,-2,,,,1,0,rggi,1,1,1,70,1,1,1,1,1,2,"rggiLogged coal production on POxPost , CO2"
"Logged coal production on POxPost , SO2",-.06,.08,-.75,,,,1,0,rggi,1,1,1,70,1,1,1,1,1,.75,"rggiLogged coal production on POxPost , SO2"
"Logged coal production on RGGIxPost , CO2",-.79,.17,-4.647058823529411,,,,1,1,rggi,1,1,1,70,1,1,1,1,1,4.647059,"rggiLogged coal production on RGGIxPost , CO2"
"Logged total production on RGGIxPost , NOX",-.19,.14,-1.357142857142857,,,,1,1,rggi,1,1,1,70,1,1,1,1,1,1.3571428,"rggiLogged total production on RGGIxPost , NOX"
"Logged nat gas production on POxPost , CO2",1.11,.16,6.937500000000001,,,,1,1,rggi,1,1,1,70,1,1,1,1,1,6.9375,"rggiLogged nat gas production on POxPost , CO2"
